Period,AAL,AAPL,AAP,ABBV,ABC,ABT,ACN,ADBE,ADI,ADM,ADP,ADSK,ADS,AEE,AEP,AES,AET,AFL,AGN,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALXN,AMAT,AMD,AME,AMGN,AMG,AMP,AMT,AMZN,ANDV,ANSS,ANTM,AON,AOS,APA,APC,APD,APH,ARE,ARNC,ATVI,AVB,AVGO,AVY,AWK,AXP,AYI,AZO,A,BAC,BAX,BA,BBT,BBY,BDX,BEN,BF.B,BIIB,BK,BLK,BLL,BRK.B,BSX,BWA,BXP,CAG,CAH,CAT,CA,CBG,CBOE,CBS,CB,CCI,CCL,CDNS,CELG,CERN,CF,CHD,CHK,CHRW,CHTR,CINF,CI,CLX,CL
2016-02-01,39.0,96.47,151.7,54.16,89.11,36.17,104.75,88.16,53.38,34.77,80.72,46.65,200.0,44.73,61.0,9.47,103.25,57.36,283.4,55.82,38.87,80.85,37.56,45.5,51.87,66.11,70.05,60.14,144.18,17.45,2.17,46.58,151.31,132.83,89.24,93.6,578.15,86.39,87.35,131.62,87.53,34.715,41.27,38.54,125.44,49.1,78.27,22.14,34.6,170.87,133.34,60.67,64.69,53.41,199.9,765.0,37.37,14.05,36.37,119.64,32.53,27.84,144.11,34.25,48.51,270.34,35.86,311.91,33.225,128.94,17.45,29.04,115.42,41.52,76.5,61.97,28.45,27.76,66.29,47.16,112.27,85.62,48.1,19.36,99.69,57.38,29.91,41.77,3.32,64.05,169.64,57.66,133.34,129.15,66.93
2016-03-01,41.44,97.65,149.92,54.78,86.8,38.91,101.38,85.92,53.95,35.13,85.62,52.4,212.23,47.19,62.07,9.83,109.54,59.92,293.17,50.63,36.91,71.72,40.17,54.37,57.12,66.26,74.2,63.84,142.47,19.09,2.16,46.69,144.3,140.48,85.08,92.75,556.29,81.02,83.43,131.87,95.99,35.62,38.47,39.16,133.78,53.56,79.64,27.36,31.96,172.73,135.37,65.8,65.1,56.03,210.84,782.21,37.63,12.64,39.65,119.01,32.49,32.75,148.6,36.37,49.83,261.37,35.61,315.27,33.445,135.11,17.02,33.85,115.0,42.34,82.52,68.44,29.5,25.7,62.71,48.67,116.0,87.0,48.59,21.65,101.83,51.48,37.0,45.595,2.64,70.79,181.08,63.61,140.64,126.57,66.06
2016-04-01,40.13,108.78,160.41,56.58,86.61,41.53,114.76,93.33,58.69,36.05,88.74,56.57,218.69,50.1,66.1,11.68,112.12,63.0,266.53,53.86,41.65,76.65,44.29,55.14,63.44,72.57,81.26,67.24,135.87,20.99,2.79,49.82,150.02,160.95,93.7,101.93,590.49,85.01,88.55,138.54,104.09,37.91,47.46,45.07,143.5,57.42,90.43,28.32,33.81,189.87,154.04,71.74,68.84,60.98,216.07,793.97,39.56,13.47,40.72,126.23,33.08,32.17,151.24,38.66,49.0,258.83,36.66,337.27,35.54,141.21,18.72,37.99,126.72,44.33,81.68,75.65,30.6,28.54,65.1,54.6,118.74,86.13,52.2,23.49,99.59,52.79,30.87,45.975,3.98,73.72,203.12,65.28,136.72,124.75,70.21
2016-05-02,34.99,93.965,156.34,60.79,85.19,38.85,112.9,94.29,56.31,39.59,88.24,60.0,203.64,48.05,63.6,11.15,113.26,68.47,216.69,56.38,40.17,85.0,46.22,50.75,66.42,72.56,70.56,65.58,140.07,20.5,3.58,48.11,158.62,170.29,96.09,105.0,663.92,79.25,90.74,141.68,105.55,38.885,54.61,52.62,144.82,55.91,92.73,33.6,34.7,177.63,146.16,72.65,73.1,65.58,245.35,770.0,41.2,14.58,44.39,134.38,35.4,32.29,160.67,37.37,48.355,274.74,40.28,358.77,35.685,145.77,21.92,36.16,129.56,44.62,77.5,77.35,29.67,29.86,61.58,56.02,117.53,87.07,49.33,23.21,103.25,56.24,33.16,46.35,6.83,71.27,212.25,65.82,139.24,125.25,71.47
2016-06-01,31.94,99.02,153.84,62.9,74.76,39.37,118.21,99.24,58.11,42.63,87.6,57.97,221.7,49.4,64.74,11.04,113.05,69.01,235.98,57.43,42.25,86.77,47.84,54.01,78.5,78.92,66.22,66.9,150.87,24.3,4.6,47.68,157.61,172.37,100.64,105.46,720.9,77.54,88.53,131.92,108.62,41.09,56.49,51.08,142.16,58.44,96.32,27.6,39.26,178.1,153.41,73.82,74.06,65.44,258.78,759.7,45.75,14.6,43.0,126.0,36.0,32.17,165.96,36.95,48.975,287.97,41.68,361.56,35.825,140.97,22.65,33.61,125.2,45.67,78.58,71.98,32.23,29.67,63.08,54.76,126.11,90.45,47.28,24.62,104.48,55.58,27.33,49.205,4.21,74.56,222.5,68.95,127.63,128.64,70.4
2016-07-01,28.26,95.49,162.16,61.98,79.29,39.31,113.66,95.04,56.15,42.99,92.0,54.12,196.01,53.77,70.46,12.48,121.68,72.19,231.78,52.65,44.42,86.52,47.45,55.81,79.45,80.74,58.24,69.95,116.68,23.77,5.09,46.26,152.43,140.44,89.63,113.94,717.32,74.43,90.91,131.25,109.29,44.055,55.76,53.79,141.61,57.33,103.82,27.84,39.69,180.86,154.47,72.53,84.81,60.8,248.55,795.96,44.36,13.19,45.18,129.54,35.47,30.66,169.59,33.37,50.065,242.57,38.6,342.03,36.315,144.59,23.4,29.97,132.09,47.91,77.92,75.38,32.73,26.44,66.77,54.44,131.0,101.55,44.72,24.3,98.53,58.48,23.92,51.445,4.25,74.57,228.68,74.93,128.33,138.69,73.15
2016-08-01,35.54,104.41,169.26,66.23,85.28,44.75,112.58,97.75,64.19,44.58,88.06,59.33,231.89,52.43,68.87,12.33,115.68,71.91,253.5,54.46,45.72,83.09,49.19,50.56,84.22,89.49,67.35,68.44,128.87,26.41,6.89,46.95,172.91,144.25,96.05,115.87,759.87,75.54,89.67,131.46,107.07,46.365,51.82,53.88,147.75,59.48,112.35,31.65,40.39,185.41,162.78,77.94,82.5,64.49,262.43,816.12,48.11,14.52,48.06,133.21,36.96,33.41,174.99,36.17,49.15,300.0,39.55,366.66,35.47,144.62,24.38,33.18,142.13,46.7,83.21,82.76,34.69,28.5,68.8,52.25,124.25,96.91,46.58,24.0,111.69,62.33,24.46,49.175,5.33,69.5,235.54,74.64,128.75,130.68,74.44
2016-09-01,36.53,106.14,158.2,64.1,87.01,41.92,114.75,102.23,62.1,43.68,90.02,67.42,204.64,49.4,64.41,12.07,117.44,74.28,235.22,59.91,45.1,89.83,49.44,54.82,79.95,93.2,67.81,68.97,125.9,29.94,7.18,48.79,170.55,142.33,101.49,113.7,770.9,75.29,95.04,124.9,111.5,48.205,49.35,53.12,156.13,62.17,110.23,30.27,41.44,175.2,176.88,77.56,73.73,65.55,275.14,744.23,47.03,16.15,46.75,130.03,38.6,38.555,177.71,36.62,48.55,307.96,41.8,374.12,39.695,150.7,24.07,34.55,140.28,46.41,79.9,81.59,33.95,30.0,68.74,51.15,126.96,94.7,48.05,25.41,107.04,64.75,26.11,49.82,6.23,69.56,267.0,77.27,128.58,130.54,74.38
2016-10-03,36.46,112.71,148.53,63.02,80.68,42.06,121.59,108.41,64.29,41.98,88.16,71.15,214.53,48.97,64.04,12.64,114.92,71.62,230.0,59.19,45.69,91.91,50.72,52.96,85.2,92.04,65.6,68.9,122.41,30.18,6.95,47.59,166.05,144.19,99.14,112.9,836.0,79.27,92.62,124.74,111.99,49.315,63.73,63.18,139.84,64.68,108.31,30.42,44.3,177.19,173.01,77.36,74.63,63.83,264.6,763.28,46.82,15.59,47.3,131.28,37.58,38.15,178.67,35.54,47.35,313.0,39.78,361.7,40.775,144.27,23.68,35.19,135.42,46.84,77.4,88.23,32.88,27.77,64.91,54.39,125.44,93.78,48.74,25.5,104.15,61.62,24.27,47.7,6.34,70.39,269.68,74.91,129.8,124.69,73.93
2016-11-01,40.51,113.46,139.88,56.0,69.85,39.24,116.5,107.79,64.4,45.37,87.3,72.4,204.74,49.96,64.55,11.77,107.71,69.18,208.39,61.77,43.99,80.59,48.39,69.39,83.57,85.86,72.24,67.85,130.57,29.11,7.32,45.0,141.17,133.13,88.97,117.19,799.0,88.48,91.42,122.44,111.17,45.17,60.32,60.15,133.74,66.1,107.44,22.24,43.27,171.39,170.72,69.85,74.05,66.77,223.17,742.61,43.73,16.56,47.65,142.95,39.3,38.93,167.64,33.89,46.16,280.03,43.45,343.36,38.615,144.68,22.0,36.03,120.28,48.16,68.53,83.47,30.85,25.84,63.01,56.49,127.25,91.33,49.09,25.55,102.0,58.52,24.15,48.16,5.53,68.12,250.0,70.63,119.55,119.84,71.46
2016-12-01,46.2,110.365,169.18,60.83,77.88,38.12,119.5,102.82,73.56,43.15,95.99,72.77,229.09,48.85,58.82,11.36,130.78,71.52,194.3,63.66,42.08,86.73,50.35,66.48,88.29,93.12,81.9,69.95,122.78,32.14,8.92,47.72,144.24,149.01,115.43,101.36,752.41,82.18,94.38,142.38,114.0,48.75,67.39,70.77,144.42,68.23,109.07,19.34,36.65,163.44,170.01,72.06,72.03,72.45,252.0,780.61,44.08,21.42,44.42,150.74,45.34,45.55,168.71,39.48,45.43,296.32,47.67,373.81,37.55,157.58,20.46,35.98,123.17,36.38,70.94,96.0,31.93,29.12,69.22,60.74,128.32,83.19,50.85,26.18,119.74,49.3,29.09,43.72,7.26,74.82,273.55,76.93,134.17,115.13,65.23
2017-01-03,47.28,115.8,170.78,62.92,78.51,38.6334,117.38,103.43,72.6,45.69,102.38,74.61,231.19,52.59,63.01,11.67,124.85,70.09,214.15,65.95,45.69,93.64,52.0,67.27,87.15,96.49,88.92,74.0,123.19,32.36,11.42,49.04,147.86,147.72,113.1231,106.73,757.92,88.51,93.12,144.54,112.09,47.7,64.71,70.56,143.56,67.57,111.85,18.74,36.44,178.3,178.29,70.76,72.37,74.89,232.89,795.58,45.93,22.6,44.38,156.3,47.45,43.05,161.95,40.24,45.16,285.82,48.03,384.62,37.855,164.34,21.72,39.9,127.7,39.71,71.99,94.0,32.06,32.0,73.68,65.41,132.74,87.25,52.23,25.43,116.5,47.7,32.02,44.25,7.2,73.5,290.24,76.26,133.91,120.57,65.56
2017-02-01,44.75,127.03,163.99,61.07,87.71,41.51,113.8,113.31,75.76,44.48,96.03,81.09,229.17,52.24,63.58,11.4,118.3,69.0,219.0,64.75,43.85,97.66,54.0,68.67,93.19,97.0,93.83,75.57,128.5,34.59,10.9,51.35,158.59,153.58,113.62,103.6,829.21,81.38,93.46,155.0,112.75,48.67,60.33,70.27,139.32,67.57,110.65,23.27,40.32,172.21,202.25,78.97,72.91,76.85,206.68,728.74,48.93,22.97,48.68,164.25,46.55,44.58,175.88,40.09,45.36,278.98,45.07,375.21,38.27,164.75,24.0,41.15,131.25,38.97,74.43,95.81,31.3,30.51,79.76,64.82,128.87,88.28,55.27,26.03,116.11,53.61,35.34,45.08,6.51,74.6,323.85,70.82,147.0,119.64,64.5
2017-03-01,46.79,137.89,158.59,62.16,92.19,45.37,123.24,119.24,82.45,47.25,103.66,87.38,244.66,54.03,66.2,11.38,130.19,73.0,245.94,64.73,46.24,100.0,57.26,62.82,102.9,103.77,98.04,82.52,132.5,36.52,15.08,54.75,178.0,171.11,134.56,114.78,853.05,85.69,107.57,166.17,117.5,50.96,53.04,65.49,142.13,69.55,119.48,29.3,45.47,183.33,213.07,81.5,77.04,81.05,213.3,740.01,51.62,25.37,51.27,181.85,49.15,42.55,183.66,43.98,48.86,290.07,47.98,394.25,37.11,173.7,24.79,42.89,138.95,41.36,82.18,98.2,32.52,36.25,78.67,66.5,139.11,93.43,56.51,31.22,124.79,55.48,31.99,49.8,5.5,80.67,325.76,74.09,150.0,136.45,73.05
2017-04-03,42.33,143.71,148.4,65.24,88.41,44.42,118.0,129.585,82.02,46.2,102.23,85.24,249.75,54.52,67.02,11.17,127.87,72.76,238.76,62.43,44.32,95.82,56.6,59.74,105.73,115.13,92.42,81.54,121.52,38.99,14.6,54.09,164.63,164.24,129.94,121.43,888.0,81.33,106.87,166.15,118.59,51.25,51.42,61.9,135.7,71.07,110.15,26.48,49.86,183.62,219.0,80.86,77.59,79.17,204.61,720.5,52.9,23.65,51.91,177.08,44.8,48.96,184.0,42.24,46.23,274.08,47.23,383.83,37.14,166.72,24.86,41.95,132.5,40.41,81.73,92.43,31.78,34.81,81.03,69.37,136.37,94.44,59.0,31.4,124.92,58.72,29.42,49.9,6.01,77.52,327.5,72.43,146.7,135.13,73.1
2017-05-01,42.76,145.1,143.15,66.0,82.32,43.57,121.37,134.3,75.05,45.88,104.29,91.75,249.97,54.79,68.03,11.31,135.22,75.06,244.0,61.19,43.61,96.9,56.1,61.19,109.09,135.39,85.34,81.49,128.0,40.98,13.43,57.39,163.68,162.0,128.92,126.56,927.8,79.97,110.4,178.5,119.91,54.02,48.56,56.93,141.55,72.58,112.79,27.43,52.63,190.69,222.09,83.2,79.83,79.22,176.44,696.4,55.5,23.52,55.73,184.23,43.45,51.99,186.38,43.27,47.3,271.35,47.25,387.2,38.53,165.8,26.37,42.6,126.85,38.84,71.49,102.65,32.93,35.99,82.62,66.89,137.28,94.88,61.78,32.73,124.09,64.63,26.88,49.64,5.25,73.16,346.29,72.22,156.68,134.11,72.29
2017-06-01,48.5,153.17,134.1,66.255,91.71,45.52,124.93,141.64,86.28,41.05,103.0,111.72,240.79,56.75,71.65,11.68,145.37,75.64,224.42,63.81,42.83,98.64,56.88,47.23,113.68,146.36,87.26,86.02,97.87,45.97,11.25,61.2,155.4,154.24,121.66,131.95,998.59,83.19,126.92,182.79,131.28,55.15,46.85,50.73,144.46,74.96,116.51,27.46,58.81,191.3,241.6,84.29,78.29,77.23,163.29,606.11,60.01,22.48,59.51,187.41,41.88,59.36,188.37,42.0,51.99,250.03,47.21,408.28,40.97,165.8,27.1,43.19,120.92,40.04,74.22,105.77,31.84,35.02,86.78,61.16,143.61,102.01,64.31,35.15,114.51,65.5,26.9,51.8,5.1,67.31,346.5,69.99,161.79,135.81,76.5
2017-07-03,50.78,144.88,117.45,72.76,94.86,48.73,123.82,141.73,78.27,41.48,101.98,101.32,257.26,54.85,69.69,11.15,152.63,78.11,244.0,62.82,43.15,104.28,57.6,50.15,106.34,151.06,90.27,88.85,121.83,41.33,12.57,61.0,172.63,167.47,128.54,132.62,972.79,94.13,122.52,189.21,133.59,56.64,48.18,45.5,143.73,74.29,121.0,22.74,57.77,192.81,234.51,88.96,78.25,84.69,204.63,570.85,59.59,24.46,60.78,198.07,45.72,57.87,195.79,45.12,48.78,272.62,51.31,425.92,42.44,170.4,27.85,42.8,123.6,35.67,78.09,106.51,34.58,36.67,91.83,64.17,145.8,100.53,65.65,33.58,130.61,66.77,28.2,51.95,5.01,69.13,338.26,72.94,168.27,133.0,74.34
2017-08-01,51.13,157.06,113.68,71.17,92.19,49.24,130.06,147.74,79.23,42.64,118.79,111.27,242.02,56.2,70.98,11.08,156.78,81.29,252.23,66.17,45.48,104.39,59.08,47.96,116.06,167.41,85.22,94.09,138.33,44.39,13.72,61.74,174.81,181.19,148.05,136.08,990.65,101.0,129.65,192.5,139.35,54.42,44.21,44.28,147.41,78.07,120.92,24.94,62.14,187.67,248.23,93.34,80.65,85.99,200.02,542.62,60.04,25.01,59.76,243.38,48.31,59.88,199.77,44.12,49.32,290.8,53.94,428.61,40.57,175.93,26.82,46.21,123.7,34.37,77.72,114.27,31.07,37.62,94.81,64.38,149.94,100.55,67.5,36.96,136.2,64.48,30.86,53.44,4.49,65.65,392.84,76.34,173.18,134.76,71.84
2017-09-01,44.85,164.8,98.31,75.59,80.46,51.03,130.95,155.76,83.97,41.37,106.53,114.63,225.95,60.17,73.84,11.08,157.78,82.55,229.89,60.58,45.35,95.0,58.01,47.28,117.06,176.81,75.1,90.57,142.0,45.19,13.12,63.3,178.14,177.31,138.72,148.33,984.2,100.47,128.57,196.04,139.45,55.87,39.0,40.99,145.66,80.98,121.37,25.55,65.66,188.12,252.33,94.28,81.07,86.31,176.83,531.2,64.9,23.9,62.11,239.66,46.04,54.44,199.44,43.27,53.26,317.16,52.45,422.35,40.21,181.6,27.55,46.67,120.93,32.59,67.69,117.49,33.27,36.16,100.61,64.23,141.47,108.47,69.82,39.3,139.0,67.86,28.99,50.23,3.65,70.69,398.93,77.16,182.68,138.52,71.66
2017-10-02,47.52,154.26,99.58,89.74,82.97,53.64,135.23,149.79,86.59,42.52,109.22,110.6915,222.0,58.14,70.46,11.06,159.16,81.52,205.76,61.72,43.9,95.62,61.68,49.35,136.25,187.16,76.3,91.65,140.0,52.21,12.8,66.0,187.03,190.02,148.28,137.03,964.0,103.0,123.16,191.21,146.28,59.66,45.15,47.88,151.04,84.75,119.19,24.95,64.42,179.0,245.31,98.34,81.18,90.44,171.83,595.65,64.29,25.46,62.92,254.65,46.96,57.11,196.91,44.59,54.11,315.19,52.91,447.73,41.35,183.45,29.21,51.16,122.93,33.75,67.22,124.4,33.36,37.95,107.92,58.37,142.55,100.31,64.06,39.79,146.2,71.35,35.11,48.46,4.15,76.28,364.52,76.45,187.71,131.96,73.02
2017-11-01,48.0,169.87,82.33,90.78,77.48,53.89,142.26,176.59,91.85,40.97,116.4,125.63,224.46,61.98,74.42,10.59,170.92,84.14,176.59,64.92,44.08,101.27,63.57,52.7,142.0,243.0,65.65,94.07,119.97,57.0,11.25,67.94,175.3,187.85,157.72,144.25,1105.4,107.12,137.55,210.03,143.82,59.69,41.77,49.64,159.69,87.55,124.68,25.25,65.69,181.33,264.24,106.71,88.0,96.29,167.89,592.94,68.2,27.64,64.6,258.29,49.35,56.18,207.53,42.45,57.34,312.75,51.67,473.21,43.2,188.1,28.23,53.39,121.24,34.26,60.81,135.67,32.56,39.61,113.69,56.21,150.53,107.68,66.58,43.47,101.89,67.73,38.25,45.39,3.98,80.9,335.62,70.26,198.2,128.85,70.72
2017-12-01,49.67,169.95,100.74,97.19,83.98,56.3,147.7,179.51,85.51,39.96,113.95,108.81,238.04,64.19,77.78,10.62,181.65,87.92,173.83,60.07,44.23,101.1,66.17,55.43,134.86,259.35,69.1,103.1,109.31,52.0,10.81,72.6,174.16,199.3,163.32,144.22,1172.05,105.98,148.45,235.5,140.73,63.52,42.28,48.6,163.29,90.66,127.56,24.63,61.96,181.93,275.21,114.0,91.71,98.08,171.78,690.0,69.19,28.25,65.44,277.51,49.55,59.75,228.27,43.42,60.0,320.7,54.92,499.67,39.98,193.59,26.21,55.82,125.93,37.45,58.95,141.6,32.92,43.47,124.42,55.89,151.91,113.45,65.32,43.66,100.5,70.34,37.59,46.97,4.1,86.6,321.94,75.0,211.62,139.3,72.51
2018-01-02,52.33,170.16,100.9,97.14,92.15,58.2,153.5,175.85,89.24,40.2,116.03,105.34,254.29,58.98,73.18,10.87,180.94,88.36,164.05,60.0,43.79,101.44,63.55,65.13,128.93,222.61,74.04,104.07,121.63,51.68,10.42,72.89,175.35,206.52,170.64,143.16,1172.0,114.92,148.15,225.0,134.25,61.45,42.65,54.13,164.88,88.47,131.0,27.31,63.54,178.59,259.77,115.15,91.0,99.73,176.67,716.54,67.42,29.75,66.09,295.75,50.0,68.26,215.09,43.77,68.97,321.15,54.27,518.78,38.12,198.87,24.94,51.38,130.39,37.68,61.7,158.3,33.46,43.68,124.88,58.19,146.42,110.53,67.22,42.0,105.29,67.55,42.86,50.07,4.05,89.74,338.43,75.37,204.14,148.79,75.43
